Gender,Loan_Requirement (in 1000$),Loan_Tenure,Home_Ownership,Income (in 1000$),Employment_Tenure,Credit_score,Age,Credit_Utlization,Active_Credit_balance (in 1000$),Open_CreditAcc,Income_to_debt_ratio,Pre-Approved,LoanStatus
Female,64,23,0,4000,0,225,69,37,29,5,14,0,False
Male,82,16,0,3000,1,480,70,47,40,5,11,0,False
Female,53,18,0,2000,0,130,45,29,32,5,15,0,False
Female,7,13,1,2000,1,280,54,11,37,5,20,0,False
Male,15,5,1,63,33,885,31,28,7,1,84,1,True
Female,44,19,0,22,4,480,66,72,39,7,22,0,False
Male,23,9,1,54,30,895,39,29,8,1,85,1,True
Female,82,16,1,2000,0,450,66,59,49,5,40,0,False
Male,26,13,1,15,32,980,48,26,10,3,52,1,True
Male,58,23,1,3000,1,135,71,34,44,5,38,0,False
Female,93,20,0,4007,5,520,58,0,18,6,18,0,True
Female,51,21,0,21,1,350,72,54,51,7,10,0,False
Female,54,17,0,2000,0,345,72,47,40,7,27,0,False
Male,19,9,0,22,21,730,38,15,15,2,67,1,True
Male,44,5,1,16,14,895,36,22,8,1,56,1,True
Male,20,7,0,6,36,975,25,23,9,1,79,1,True
Male,52,23,0,17000,0,255,68,53,38,7,48,0,False
Female,85,24,1,10000,1,290,73,37,47,5,19,0,False
Male,13,7,1,70,12,840,35,12,6,1,99,1,True
Female,55,5,1,13,25,870,53,5,17,2,84,1,True
Male,14,12,1,38,35,780,28,10,17,3,76,1,True
Female,69,15,0,74,18,965,66,46,17,1,84,1,True
Female,25,7,1,3000,1,155,53,18,24,6,41,0,False
Female,47,23,0,7,2,365,72,82,29,7,15,0,False
Female,76,20,0,3000,0,370,62,47,41,7,34,0,False
Female,53,23,0,21,0,400,73,73,34,6,29,0,False
Male,19,6,1,64,12,970,46,25,5,1,85,1,True
Male,29,7,1,39,12,985,39,20,19,1,60,1,True
Male,50,13,1,12,15,770,45,29,5,0,80,1,True
Male,12,7,1,64,10,960,29,17,7,0,89,1,True
Female,38,22,0,19,2,455,71,67,53,6,12,0,False
Female,71,22,0,6000,0,155,70,31,32,7,15,0,False
Male,14,5,0,76,3,835,34,17,5,0,91,1,False
Female,71,20,1,2000,0,250,63,51,45,6,22,0,False
Female,68,20,1,4000,0,195,69,42,48,7,24,0,False
Female,52,15,0,14,2,315,72,81,45,6,10,0,False
Male,63,23,0,4000,1,330,70,33,25,7,47,0,False
Female,39,19,0,10,2,435,71,64,51,6,25,0,False
Female,54,23,0,5,1,300,68,50,52,7,15,0,False
Male,26,9,1,11,34,940,25,12,7,0,84,1,True
Female,54,16,1,8000,1,155,60,49,46,7,26,0,False
Male,54,5,0,9,29,755,38,18,16,2,75,1,True
Female,62,16,0,3000,1,185,69,42,46,7,18,0,False
Female,23,14,0,42,25,680,31,24,13,2,71,1,True
Female,46,17,0,17,4,385,69,56,53,6,14,0,False
Male,44,8,0,20,35,805,38,5,16,2,88,1,True
Male,65,20,0,2000,0,405,66,54,28,7,29,0,False
Female,49,24,0,14,2,340,74,52,32,6,18,0,False
Female,37,23,0,7,2,385,68,70,36,6,24,0,False
Male,24,8,1,81,38,910,21,9,7,1,93,1,True
Male,20,14,1,40,19,935,32,16,9,3,74,1,True
Male,24,6,1,89,21,830,25,1,8,0,92,1,True
Male,43,14,0,6,32,920,29,19,14,1,71,1,True
Male,58,17,1,88,14,890,65,43,11,0,60,1,True
Male,13,5,1,80,32,870,25,8,9,1,84,1,True
Male,9,6,1,32,24,650,28,10,13,2,73,1,True
Female,51,21,0,6,3,360,71,66,32,6,13,0,False
Male,71,15,1,53,6,725,63,48,8,2,84,1,True
Female,39,5,0,3000,1,270,21,26,31,6,14,0,False
Male,37,14,1,10,16,890,25,14,6,0,79,1,True
Female,99,17,0,3000,0,170,20,5,29,6,24,0,False
Female,88,21,0,18000,1,155,70,30,39,7,11,0,False
Male,27,10,1,13,35,695,26,27,8,3,73,1,True
Female,99,19,1,5000,1,385,64,35,46,5,33,0,False
Male,61,20,0,76,22,730,67,33,19,3,53,1,True
Male,11,9,1,97,11,955,39,10,8,1,98,1,True
Male,18,6,1,91,28,940,33,15,6,1,87,1,True
Male,46,12,0,14,9,685,45,20,18,1,50,1,True
Male,21,7,1,21,17,750,40,16,13,0,82,1,True
Male,54,7,0,8,6,730,43,26,9,2,55,1,True
Male,40,9,1,24,23,775,41,27,15,0,50,1,True
Female,26,6,0,3,9,738,60,7,10,0,71,0,False
Male,14,8,1,23,13,800,37,5,18,1,63,1,True
Male,17,8,1,82,12,955,39,1,6,1,88,1,True
Female,61,22,1,4000,0,450,69,58,21,5,36,0,False
Male,16,6,1,92,22,870,48,5,8,0,84,1,True
Female,90,18,1,3006,0,300,58,52,34,0,13,0,True
Female,41,15,0,18,2,430,71,60,49,6,19,0,False
Female,60,19,0,3000,1,520,67,45,45,6,41,0,False
Female,86,17,1,4000,0,525,73,50,33,6,41,0,False
Male,33,14,0,5,17,935,49,23,17,1,65,1,True
Female,64,16,0,7000,1,245,60,46,32,6,44,0,False
Male,37,8,0,22,25,755,34,6,6,2,87,1,True
Female,71,17,0,3000,1,115,50,15,46,5,37,0,False
Female,49,16,0,24,1,330,67,50,48,7,13,0,False
Female,21,14,0,19,18,720,33,25,15,3,62,1,True
Male,33,6,0,83,30,795,63,55,14,0,80,1,True
Female,54,19,0,22,1,485,70,82,47,6,15,0,False
Male,12,5,1,90,14,825,32,17,9,0,89,1,True
Female,22,5,1,4000,1,365,38,26,49,6,46,0,False
Female,52,15,0,3000,0,535,65,54,38,6,42,0,False
Female,28,10,0,34,23,905,52,12,9,1,81,1,True
Male,10,10,0,74,16,945,74,56,9,2,85,1,True
Male,33,22,0,13,0,407,69,68,31,7,32,1,True
Male,34,12,0,6,6,770,46,16,6,3,80,1,True
Female,21,6,0,2000,0,360,35,16,47,5,18,0,False
Male,25,14,1,24,8,930,52,21,17,2,77,1,True
Female,80,17,1,2000,1,170,63,49,31,7,48,0,False
Female,78,16,1,3000,1,140,64,44,33,6,24,0,False
Female,53,17,0,17,0,315,65,58,49,7,13,0,False
Female,85,15,1,89,16,755,57,64,5,0,73,1,True
Female,78,19,1,56,21,855,60,38,5,3,66,1,True
Male,51,12,1,24,9,751,58,24,15,0,59,1,True
Male,64,20,1,4000,0,480,62,47,22,6,46,0,False
Female,88,15,0,3000,0,100,71,40,43,7,20,0,False
Female,43,17,0,4,0,405,73,69,47,6,12,0,False
Male,11,8,1,15,21,710,35,12,13,0,64,1,True
Male,99,16,0,8000,1,150,67,49,45,6,28,0,False
Male,19,7,1,84,11,940,26,8,5,0,87,1,True
Female,54,21,0,5,3,385,67,84,27,7,12,0,False
Female,16,13,0,15,33,735,25,10,7,2,79,1,True
Male,56,18,0,17000,0,470,71,56,24,5,26,0,False
Female,82,19,1,23000,1,230,61,56,38,5,24,0,False
Female,69,19,1,22000,1,210,63,51,33,6,12,0,False
Male,21,8,1,90,10,990,24,20,7,0,95,1,True
Male,65,21,0,2000,1,495,71,31,35,6,34,0,False
Female,63,15,1,9000,0,235,62,45,24,7,31,0,False
Male,20,6,1,56,14,925,34,29,9,0,83,1,True
Male,34,10,0,21,21,775,41,24,12,0,54,1,True
Female,56,10,1,65,23,960,72,31,6,0,71,1,True
Male,22,11,1,15,19,880,46,16,12,1,83,1,True
Male,52,9,0,59,21,845,74,31,16,2,78,1,True
Male,59,12,1,24,34,700,43,29,9,3,73,1,True
Male,53,10,0,33,7,725,47,27,7,0,84,1,True
Female,88,19,1,3005,0,300,66,44,51,7,34,1,False
Female,74,15,1,4000,0,345,27,18,26,6,16,0,False
Male,32,13,0,14,6,785,40,8,12,3,58,1,True
Female,43,23,0,19,4,440,68,74,32,5,26,0,False
Female,99,17,0,3000,0,340,60,52,43,6,21,0,False
Female,57,10,1,67,7,790,60,46,7,3,84,1,True
Male,89,19,1,2000,0,295,63,48,24,6,33,0,False
Male,19,14,0,23,11,925,23,24,17,3,62,1,True
Female,83,16,0,13000,1,105,60,57,21,6,44,0,False
Female,48,14,1,23,19,990,34,25,15,3,81,1,True
Female,11,6,0,3000,1,435,24,8,38,7,21,0,False
Male,55,15,0,2000,0,265,65,44,43,7,37,0,False
Male,9,11,1,8,35,775,31,16,5,2,80,1,True
Male,91,16,0,4000,1,280,74,33,34,5,31,0,False
Female,84,22,1,4000,0,325,62,54,29,6,19,0,False
Female,66,16,0,14000,0,455,67,51,25,7,42,0,False
Male,52,18,1,2000,0,325,64,43,25,5,44,0,False
Female,45,22,0,4,1,390,68,65,47,5,10,0,False
Male,43,12,1,3000,1,350,53,18,45,6,11,0,False
Female,29,12,1,43,26,995,26,23,14,2,83,1,True
Female,87,21,0,3000,0,520,73,52,41,6,27,0,False
Female,35,23,0,9,3,425,69,59,33,5,29,0,False
Male,47,6,0,17,22,650,40,19,5,2,59,1,True
Male,21,7,1,56,24,800,30,14,6,0,97,1,True
Male,35,11,0,9,8,670,41,28,6,1,68,1,True
Female,15,10,0,22,21,960,37,24,14,2,87,1,True
Male,33,7,1,19,31,660,27,15,15,0,53,1,True
Male,21,5,1,99,35,885,20,16,9,0,93,1,True
Male,44,7,0,22,36,760,20,28,17,1,83,1,True
Male,18,5,1,53,32,840,30,16,8,1,91,1,True
Female,66,20,0,2000,1,365,63,41,35,5,39,0,False
Male,52,7,0,5,21,920,52,12,9,1,52,1,True
Female,94,17,1,4000,1,100,60,53,31,6,28,0,False
Male,51,23,0,2000,1,505,72,46,28,6,38,0,False
Female,42,16,0,21,3,315,67,74,38,7,19,0,False
Male,49,5,1,15,23,820,29,19,14,3,88,1,True
Female,44,12,1,7,27,815,35,13,12,3,57,1,True
Female,62,15,0,3000,0,305,72,33,39,7,12,0,False
Male,19,9,1,94,26,850,25,9,7,1,86,1,True
Female,81,15,1,3000,1,545,69,59,34,6,38,0,False
Male,74,16,1,7000,1,345,68,56,28,6,35,0,False
Female,28,13,1,84,13,780,68,53,19,3,74,1,True
Male,59,9,1,35,6,950,32,25,6,3,67,1,True
Female,34,5,1,15,9,930,54,10,10,0,54,1,True
Female,86,23,1,3000,0,240,66,39,21,6,39,0,False
Female,54,21,0,6,2,340,68,78,52,5,22,0,False
Female,57,21,0,2000,0,340,67,49,22,7,22,0,False
Male,18,7,1,57,24,800,20,0,8,0,82,1,True
Female,39,23,0,10,0,350,74,62,52,6,14,0,False
Female,55,8,0,4000,1,385,39,13,41,6,10,0,False
Male,36,7,1,20,35,880,52,19,15,3,50,1,True
Female,85,23,1,3000,1,295,49,29,29,5,19,0,False
Male,48,14,1,12,35,945,42,20,18,3,79,1,True
Male,23,11,0,3000,1,535,47,14,36,6,11,0,False
Male,28,8,1,19,8,795,49,29,11,2,69,1,True
Female,59,19,1,7000,0,370,70,55,37,7,32,0,False
Female,53,16,1,3000,1,225,67,48,44,6,20,0,False
Male,48,6,1,13,15,960,54,7,11,0,67,1,True
Male,22,7,1,65,9,985,67,32,8,1,78,1,True
Female,35,20,0,20,1,370,65,67,27,7,14,0,False
Female,99,19,0,4000,1,540,70,50,22,7,10,0,False
Female,51,19,0,3000,0,270,70,43,24,7,20,0,False
Female,66,22,0,3000,0,315,69,49,43,5,18,0,False
Male,28,8,0,4000,0,215,27,20,25,7,20,0,False
Male,37,13,0,15,16,935,35,11,10,1,54,1,True
Male,27,11,1,7,22,990,36,8,10,0,50,1,True
Male,84,18,1,2000,1,335,73,33,28,5,38,0,False
Female,44,12,0,26,0,409,69,61,25,7,24,0,False
Female,24,11,1,20,8,675,48,8,12,2,80,1,True
Female,98,22,1,4000,0,495,62,58,24,5,18,0,False
Female,41,19,0,23,1,425,70,54,40,7,10,0,False
Female,88,19,0,3000,1,175,51,13,27,7,16,0,False
Female,46,20,0,24,2,330,69,51,41,7,19,0,False
Male,17,8,1,86,26,975,32,24,5,1,96,1,True
Female,41,16,0,20,0,395,72,64,27,6,21,0,False
Female,49,23,0,11,3,415,70,72,27,6,13,0,False
Male,48,13,1,18,20,715,48,10,8,1,59,1,True
Female,83,15,0,15000,0,100,73,53,36,5,36,0,False
Female,77,18,0,22000,1,395,74,44,20,5,35,0,False
Male,39,11,0,81,13,925,73,57,19,1,71,1,True
Male,26,7,0,24,28,785,30,17,16,3,83,1,True
Male,18,7,1,57,35,820,29,25,9,0,95,1,True
Male,13,14,0,39,13,935,30,23,15,3,51,1,True
Female,75,18,0,3000,1,305,66,56,44,6,43,0,False
Male,15,8,1,64,26,900,41,2,9,0,86,1,True
Female,92,15,0,6000,0,405,65,37,49,7,26,0,False
Female,58,17,0,2000,1,100,68,47,21,7,35,0,False
Male,32,13,1,5,8,895,54,9,16,1,67,1,True
Female,34,14,1,20,37,755,33,18,8,1,59,1,True
Female,52,15,0,14,0,465,68,63,29,6,22,0,False
Female,46,23,0,22,4,430,68,66,29,5,24,0,False
Male,46,7,1,31,28,685,38,5,18,2,84,1,True
Male,19,11,1,48,33,755,38,6,13,3,70,1,True
Female,68,20,0,2000,1,420,65,30,35,7,37,0,False
Male,56,8,0,10,24,900,20,14,11,0,79,1,True
Female,39,10,1,33,32,970,48,27,13,3,53,1,True
Male,23,14,0,73,13,830,65,50,7,2,79,1,True
Female,43,21,0,3,4,425,74,79,42,6,14,0,False
Male,14,8,1,96,30,945,36,1,6,0,90,1,True
Male,50,20,1,17,0,433,63,75,54,7,27,0,True
Male,11,8,0,67,24,985,68,44,14,0,88,1,True
Male,23,5,1,97,20,870,47,8,8,1,80,1,True
Female,50,19,1,2000,1,465,70,53,43,5,22,0,False
Male,87,18,1,4000,0,520,60,50,49,5,11,0,False
Female,52,16,1,5000,1,430,72,57,46,6,49,0,False
Male,38,11,0,43,31,780,41,6,19,1,54,1,True
Female,31,9,0,2000,1,245,49,9,37,6,39,0,False
Male,8,8,1,75,11,750,62,31,16,1,60,1,True
Female,69,24,1,3000,1,320,60,32,43,7,33,0,False
Male,23,7,1,99,37,925,34,6,9,1,90,1,True
Male,7,11,0,93,16,805,61,54,15,1,62,1,True
Female,97,20,1,2000,1,385,67,54,23,7,40,0,False
Female,14,13,1,19,36,730,32,23,11,1,86,1,True
Male,48,9,0,3000,1,135,31,11,40,5,35,0,False
Male,21,7,1,54,23,975,33,3,6,1,86,1,True
Female,51,23,0,13,0,445,70,65,52,7,18,0,False
Male,42,8,1,12,35,860,51,24,9,0,62,1,True
Male,17,14,0,15,22,935,37,29,12,3,56,1,True
Male,31,14,1,35,21,950,46,28,11,0,75,1,True
Female,64,20,0,9000,1,250,74,38,45,6,47,0,False
Male,13,5,1,23,11,665,43,6,12,3,66,1,True
Female,24,8,1,9,23,735,43,13,8,0,52,1,True
Female,18,13,1,23,31,800,39,24,8,1,59,1,True
Female,73,21,1,4000,0,100,71,44,37,6,25,0,False
Male,53,10,1,16,24,785,32,18,5,0,86,1,True
Male,14,5,1,92,30,810,49,5,9,1,81,1,True
Female,36,24,0,24,0,495,68,78,37,7,16,0,False
Female,37,20,0,6,4,485,65,80,51,7,14,0,False
Male,19,6,1,24,20,665,26,26,16,1,67,1,True
Female,91,15,0,2000,0,470,64,34,23,6,40,0,False
Female,52,21,0,9,4,495,66,69,43,5,25,0,False
Male,41,9,0,26,7,665,52,11,17,3,60,1,True
Male,19,7,1,69,20,855,25,20,9,1,90,1,True
Female,73,24,0,4002,0,300,56,33,24,0,35,1,False
Female,71,24,1,4000,1,235,73,54,32,6,28,0,False
Male,19,5,1,92,30,980,49,14,6,0,90,1,True
Female,10,10,1,29,8,745,51,22,11,2,73,1,True
Female,37,21,0,13,3,410,66,77,52,7,28,0,False
Male,24,5,0,2000,0,185,43,22,32,7,44,0,False
Male,37,13,1,30,28,950,53,19,19,0,57,1,True
Male,55,7,0,22,30,965,54,12,10,3,59,1,True
Male,44,11,1,13,27,660,53,26,8,0,57,1,True
Male,68,20,1,20000,1,185,72,59,45,5,28,0,False
Male,8,10,1,34,5,665,37,20,6,1,51,1,True
Male,9,8,1,21,15,735,46,8,13,3,78,1,True
Male,16,8,1,49,32,835,29,24,18,3,87,1,True
Male,20,9,1,71,22,805,25,21,9,0,81,1,True
Female,35,19,0,14,3,315,73,59,50,6,11,0,False
Male,18,5,1,97,10,985,28,18,7,0,91,1,True
Male,28,12,1,16,16,895,27,17,8,3,81,1,True
Male,19,8,0,22,37,950,28,28,8,0,76,1,True
Male,35,10,0,24,13,795,52,24,15,0,62,1,True
Male,42,8,1,73,31,965,74,49,16,0,73,1,True
Male,93,19,0,3000,0,405,39,10,39,7,36,0,False
Male,49,9,0,48,36,700,25,9,15,1,78,1,True
Male,87,17,0,3000,0,390,64,46,32,7,39,0,False
Female,76,21,0,2000,1,355,67,52,30,5,14,0,False
Male,57,10,0,2997,2,317,40,8,38,4,13,1,True
Female,68,21,0,3000,0,110,69,35,25,6,16,0,False
Male,18,14,1,9,13,965,35,27,5,0,60,1,True
Male,78,18,0,14000,0,325,61,42,33,6,37,0,False
Female,87,24,0,3000,1,460,60,49,26,7,29,0,False
Male,30,14,1,16,18,980,22,23,12,2,61,1,True
Male,10,11,0,33,17,900,28,21,6,0,59,0,True
Female,22,10,1,32,7,905,33,23,7,0,62,1,True
Female,94,23,1,4000,0,305,70,59,48,7,24,0,False
Male,89,16,0,2000,1,510,60,47,43,7,25,0,False
Female,20,12,0,4000,1,305,31,14,43,5,18,0,False
Female,61,17,0,9000,0,495,73,59,37,5,10,0,False
Male,24,6,1,78,26,860,23,23,8,0,96,1,True
Female,72,24,0,4000,1,350,72,56,43,7,40,0,False
Female,46,20,0,9,2,495,66,76,28,5,11,0,False
Male,17,6,1,54,11,805,42,18,6,1,90,1,True
Female,92,23,0,3000,1,310,28,20,21,6,23,0,False
Female,99,24,1,2993,0,360,66,57,32,0,48,1,False
Female,57,16,1,14000,1,190,73,31,26,7,41,0,False
Female,77,16,1,3000,0,500,70,44,30,7,34,0,False
Female,84,22,1,3000,0,180,22,17,49,5,12,0,False
Male,74,19,1,3000,1,465,68,31,39,6,45,0,False
Male,21,14,1,92,13,935,68,30,5,3,85,1,True
Male,44,11,1,41,29,845,22,23,6,0,64,1,True
Female,37,20,0,15,3,315,70,70,54,7,16,0,False
Female,67,22,1,2000,0,515,65,53,32,6,38,0,False
Male,43,11,0,23,18,950,44,17,5,3,64,1,True
Female,54,23,1,23000,1,110,74,57,39,6,25,0,False
Male,27,14,1,35,28,805,36,19,6,3,63,1,True
Male,12,13,1,16,27,995,39,18,7,2,81,1,True
Female,91,20,1,3000,0,380,64,41,46,6,46,0,False
Female,85,19,1,3000,1,295,62,48,40,5,15,0,False
Male,60,15,0,9000,0,325,62,56,25,5,46,0,False
Female,29,7,0,2000,0,140,51,18,31,7,17,0,False
Female,52,8,1,2000,1,150,28,7,33,6,23,0,False
Female,40,12,1,5,0,435,65,78,45,7,10,1,True
Male,30,14,0,43,7,900,33,27,9,2,79,1,True
Female,49,20,0,11,3,305,67,81,54,5,24,0,False
Male,15,8,1,85,12,970,44,12,8,1,95,1,True
Male,66,20,1,89,22,655,63,51,19,3,73,1,True
Female,51,21,0,17,1,315,72,81,38,6,24,0,False
Female,78,15,1,3000,1,105,67,44,27,6,20,0,False
Female,74,18,0,5000,0,160,74,56,32,5,32,0,False
Male,61,23,1,3000,0,245,67,35,25,6,41,0,False
Male,36,11,0,76,27,900,63,33,17,1,57,1,True
Female,74,21,0,21000,0,115,60,49,21,6,28,0,False
Female,50,14,0,2006,2,403,62,57,38,6,27,1,True
Female,24,13,0,4000,1,480,26,11,46,7,12,0,False
Female,53,19,1,3000,0,370,73,35,30,5,22,0,False
Male,23,5,1,62,29,950,36,21,8,0,95,1,True
Male,90,20,0,18000,0,215,61,41,26,7,43,0,False
Male,50,12,0,14,25,720,38,20,12,2,62,1,True
Female,52,20,0,12000,0,135,62,39,29,6,26,0,False
Female,68,20,0,21000,0,410,72,38,23,6,19,0,False
Female,67,20,0,2000,0,365,71,33,34,5,29,0,False
Female,44,9,1,24,21,730,22,27,12,0,59,1,True
Female,71,23,0,4000,1,420,65,38,30,7,34,0,False
Male,75,21,1,79,14,695,61,54,5,1,85,1,True
Male,73,23,0,2000,1,220,26,9,38,7,33,0,False
Female,52,17,0,12,4,365,70,79,35,5,14,0,False
Male,32,17,1,49,31,900,45,30,24,0,80,0,False
Male,23,5,1,86,31,875,29,5,5,1,91,1,True
Male,24,11,0,4000,1,515,49,13,42,5,47,0,False
Male,46,6,0,5,21,985,34,21,13,2,75,1,True
Female,65,19,0,2000,1,170,69,47,49,5,35,0,False
Male,84,20,1,5000,1,535,61,56,31,6,26,0,False
Female,49,21,0,17,2,375,70,81,38,6,24,0,False
Female,74,16,0,8000,0,290,70,33,40,6,43,0,False
Male,39,10,0,6,25,990,23,12,5,1,68,1,True
Female,53,22,0,4000,0,240,65,45,34,5,27,0,False
Female,39,22,0,5,3,380,73,68,46,5,15,0,False
Male,37,6,0,37,22,850,24,17,11,3,55,1,True
Male,28,10,1,17,32,735,48,21,13,3,80,1,True
Male,79,15,1,4000,0,315,51,28,45,5,46,0,False
Female,24,12,0,2998,6,415,47,13,36,6,18,0,False
Male,16,5,0,43,22,900,49,22,18,2,52,1,True
Male,63,15,0,3993,5,300,74,51,36,7,36,0,False
Male,30,8,1,14,15,795,54,29,11,1,86,1,True
Female,59,12,1,12,11,915,40,18,11,0,70,1,True
Female,12,10,1,11,27,885,31,20,11,2,52,1,True
Female,96,18,1,2000,0,435,69,33,27,5,26,0,False
Female,36,15,0,10,4,425,71,62,31,6,25,0,False
Female,86,19,0,4000,1,205,29,16,26,6,36,0,False
Male,60,9,0,2997,0,300,65,34,45,7,16,0,False
Female,46,21,0,5,0,450,69,55,43,5,14,0,False
Male,30,9,1,7,7,730,30,21,13,2,64,1,True
Female,32,12,0,4000,1,120,42,27,36,5,39,0,False
Male,54,14,0,12,35,820,52,18,9,0,66,1,True
Male,20,5,1,1990,0,360,55,7,43,7,33,0,False
Female,90,23,1,4000,0,495,67,30,38,6,48,0,False
Female,39,22,0,21,2,335,69,58,42,6,24,0,False
Female,61,20,0,4000,1,220,71,38,42,6,40,0,False
Male,18,13,0,24,8,755,30,23,16,1,64,1,True
Male,53,5,0,39,22,776,38,16,6,7,66,0,True
Male,35,14,0,21,27,780,29,26,8,0,65,1,True
Female,82,21,0,3000,0,440,73,50,38,7,23,0,False
Female,75,24,1,2000,1,135,63,38,30,6,32,0,False
Female,85,23,1,2000,1,290,66,44,24,5,21,0,False
Female,37,15,0,24,3,435,69,75,40,7,19,0,False
Male,28,5,1,5,24,658,54,2,13,4,73,1,False
Male,61,21,1,85,31,750,61,35,10,1,60,1,True
Male,51,10,1,20,28,955,42,18,17,3,84,1,True
Male,13,6,1,84,26,940,36,28,8,1,89,1,True
Male,17,9,1,70,13,820,37,4,8,1,83,1,True
Male,25,12,0,44,24,865,24,13,11,0,69,1,True
Female,54,23,0,9,1,420,73,54,49,6,14,0,False
Male,56,8,1,10,31,940,30,16,16,0,80,1,True
Female,83,17,0,2000,1,255,62,36,33,7,30,0,False
Male,19,11,0,13,18,675,51,5,16,2,57,1,True
Male,11,11,0,34,24,865,49,21,7,2,65,1,True
Male,13,10,1,20,30,855,42,19,14,3,57,1,True
Male,25,12,1,20,30,755,22,7,7,0,75,1,True
Female,51,15,1,18000,0,325,63,55,20,5,10,0,False
Male,20,5,1,79,11,980,33,16,8,0,90,1,True
Female,52,12,0,2000,1,515,35,17,47,7,17,0,False
Female,92,23,0,3000,0,445,61,51,39,6,34,0,False
Female,89,22,1,3000,1,535,74,49,28,6,12,0,False
Female,74,17,0,24000,1,220,61,48,25,7,40,0,False
Male,13,5,1,91,28,880,29,22,7,1,86,1,True
Female,40,6,1,3000,0,365,24,25,44,5,22,0,False
Male,9,7,0,62,36,710,62,39,11,3,78,1,True
Female,45,19,0,21,1,345,73,55,49,7,18,0,False
Female,38,24,0,18,3,495,68,81,53,5,26,0,False
Male,29,10,1,7,37,755,35,22,17,3,79,1,True
Female,98,16,0,2000,0,335,64,43,31,5,30,0,False
Female,40,7,1,8,35,720,38,14,12,0,82,1,True
Male,18,9,1,83,13,950,23,26,9,0,80,1,True
Female,22,12,0,4000,1,525,33,27,48,5,18,0,False
Male,40,11,1,2000,0,245,20,9,23,6,16,0,False
Male,56,9,1,28,8,650,20,17,9,3,64,1,True
Female,72,17,0,3000,0,315,64,34,44,5,47,0,False
Female,68,22,0,2000,1,405,67,35,39,6,14,0,False
Female,40,17,0,15,1,405,72,65,46,5,12,0,False
Female,36,24,0,18,3,325,70,55,33,5,27,0,False
Female,62,19,1,72,33,865,68,54,11,3,65,1,True
Female,73,18,0,2000,1,165,71,35,46,5,12,0,False
Female,42,20,0,24,2,365,70,51,46,6,14,0,False
Male,85,18,0,3000,1,445,72,36,26,5,28,0,False
Male,75,16,0,2000,0,305,68,34,41,6,49,0,False
Female,56,10,1,20,10,850,23,7,11,2,67,1,True
Male,64,19,1,66,28,825,69,58,6,1,73,1,True
Male,21,11,1,37,19,865,41,15,11,0,70,1,True
Male,56,12,1,8,18,685,35,11,13,2,73,1,True
Female,92,17,0,2000,1,470,73,53,26,6,45,0,False
Male,89,22,1,2000,1,225,70,35,46,7,24,0,False
Male,14,6,1,85,28,835,49,20,6,0,91,1,True
Male,21,9,1,55,34,965,45,13,5,0,97,1,True
Female,85,19,1,12000,0,160,74,49,23,7,27,0,False
Female,95,15,0,3000,0,135,74,35,31,6,21,0,False
Female,71,15,1,18000,0,405,69,37,44,6,44,0,False
Female,41,10,1,2000,0,185,23,12,20,5,39,0,False
Male,13,9,1,50,24,940,38,29,9,0,89,1,True
Female,47,9,0,14,7,975,47,13,11,2,54,1,True
Male,65,18,0,99,20,760,74,46,6,0,55,1,True
Female,66,23,1,22000,1,125,73,46,33,6,39,0,False
Male,41,12,0,38,8,765,44,13,14,0,53,1,True
Male,24,14,0,7,9,745,53,14,17,0,67,1,True
Female,41,11,0,2000,1,450,46,14,49,6,43,0,False
Female,14,7,1,15,33,760,22,12,9,2,86,1,True
Male,59,5,1,28,24,690,37,9,15,2,78,1,True
Female,84,24,1,3000,1,465,41,23,29,6,28,0,False
Female,49,12,0,2000,0,525,23,7,25,7,11,0,False
Male,57,11,0,18,22,965,50,13,12,1,63,1,True
Male,33,8,1,36,14,700,54,28,5,3,66,1,True
Female,91,21,0,3000,0,120,42,25,20,5,33,0,False
Female,59,18,0,11000,1,365,67,42,40,5,21,0,False
Male,58,16,1,3000,0,485,62,57,20,6,13,0,False
Female,52,22,0,16,4,425,71,60,48,6,29,0,False
Male,18,12,1,64,12,865,69,55,19,3,51,1,True
Female,94,20,1,2000,0,190,64,41,29,6,28,0,False
Male,52,5,0,4000,1,315,27,10,22,5,16,0,False
Male,15,8,1,19,15,685,24,10,12,3,50,1,True
Male,49,14,0,3009,6,398,74,47,29,0,38,0,True
Male,18,7,1,9,33,875,49,24,12,2,86,1,True
Male,38,12,0,12,11,770,45,16,19,2,64,1,True
Female,85,16,1,3000,1,455,71,48,48,5,31,0,False
Male,18,7,1,84,35,970,43,26,7,1,94,1,True
Male,58,10,1,42,37,930,37,16,12,1,80,1,True
Male,70,24,1,4000,1,540,69,30,47,5,33,0,False
Female,44,20,0,14,4,315,72,62,49,6,16,0,False
Female,50,22,0,4000,1,435,65,45,42,7,16,0,False
Female,78,21,1,2000,0,330,69,48,25,6,10,0,False
Male,60,16,1,54,36,830,68,55,15,2,56,1,True
Female,45,12,0,24,6,905,46,28,9,0,60,1,True
Male,51,6,0,22,26,980,34,14,13,3,53,1,True
Female,76,19,1,83,10,715,64,59,13,1,66,1,True
Female,41,16,0,18,2,460,73,64,32,5,23,0,False
Female,64,23,1,3000,0,230,63,51,42,6,16,0,False
Female,71,21,0,2000,0,250,31,18,34,7,30,0,False
Female,59,6,1,57,19,940,72,33,15,1,78,1,True
